address,place_name,relevance,longitude,latitude
"Electronic City Phase II,Bangalore,Karnataka,India","Electronics City Phase 2 (West), Anekal, Bangalore Urban, Karnataka, 560100, India",0.895,77.6725236,12.8371576
"Chikka Tirupathi,Bangalore,Karnataka,India","Chikka Tirupathi, Dabaspete - Hosur Highway, Chikkatirupati, Maluru taluk, Kolar district, Karnataka, India",0.4209999999999999,77.8671014,12.8957681
"Uttarahalli,Bangalore,Karnataka,India","Uttarahalli, Bommanahalli Zone, Bengaluru, Bangalore South, Bangalore Urban, Karnataka, India",0.6799999999999999,77.5455438,12.9055682
"Lingadheeranahalli,Bangalore,Karnataka,India",NOT_FOUND,0.0,,
"Kothanur,Bangalore,Karnataka,India","Kothanur, Horamavu, Mahadevapura Zone, Bengaluru, Bangalore East, Bangalore Urban, Karnataka, 56077, India",0.7050000000000001,77.6493895,13.0613601
"Whitefield,Bangalore,Karnataka,India","Whitefield, Bengaluru, Bangalore East, Bangalore Urban, Karnataka, 56066, India",0.7093549821575413,77.7497448,12.9696365
"Old Airport Road,Bangalore,Karnataka,India","HAL Old Airport Road, HAL Township, HAL Airport Ward, Mahadevapura Zone, Bengaluru, Bangalore East, Bangalore Urban, Karnataka, 560017, India",0.72,77.6615183,12.9592241
"Rajaji Nagar,Bangalore,Karnataka,India","Vasan Eye Care Hospital, Rajaji Nagar, 46, 19th Cross Road, Ketamaranahalli, Nagapura Ward, West Zone, Bengaluru, Bangalore North, Bangalore Urban, Karnataka, 560010, India",0.5209999999999999,77.5505328,12.9995223
"Marathahalli,Bangalore,Karnataka,India","Marathahalli, Marathahalli Ward, Mahadevapura Zone, Bengaluru, Bangalore East, Bangalore Urban, Karnataka, 560037, India",0.7050000000000001,77.6984163,12.9552572
"Gandhi Bazar,Bangalore,Karnataka,India","Gandhi Bazar , North Road, Basavanagudi, Vanivilas Road, Sunkenahalli Ward, South Zone, Bengaluru, Bangalore North, Bangalore Urban, Karnataka, 560004, India",0.5209999999999999,77.5707802,12.9482767
"7th Phase JP Nagar,Bangalore,Karnataka,India",NOT_FOUND,0.0,,
"Gottigere,Bangalore,Karnataka,India","Gottigere, Gottigere Ward, Bommanahalli Zone, Bengaluru, Bangalore South, Bangalore Urban, Karnataka, 560083, India",0.8913488082855311,77.5877237,12.8565317
"Sarjapur,Bangalore,Karnataka,India","HSR Layout, HSR Layout Ward, Bommanahalli Zone, Bengaluru, Bangalore South, Bangalore Urban, Karnataka, 380068, India",0.5950000000000001,77.6388622,12.9116225
"Mysore Road,Bangalore,Karnataka,India","Mysore Road, Bapuji Nagar, Bapuji Nagar Ward, South Zone, Bengaluru, Bangalore North, Bangalore Urban, Karnataka, 566026, India",0.6199999999999999,77.5425103,12.9536841
"Bisuvanahalli,Bangalore,Karnataka,India",NOT_FOUND,0.0,,
"Raja Rajeshwari Nagar,Bangalore,Karnataka,India","Raja Rajeshwari School, Kenchenahalli Main Road, Ideal Homes Layout, Rajarajeshwari Nagar, Rajarajeshwari Nagar Zone, Bengaluru, Bangalore South, Bangalore Urban, Karnataka, 560098, India",0.621,77.514794,12.929615
"Ramakrishnappa Layout,Bangalore,Karnataka,India","Ramakrishnappa Layout, 60 Feet Road, Pattegarara Palya Main Road, Malagala, Kottigepalya, Rajarajeshwari Nagar Zone, Bengaluru, Bangalore North, Bangalore Urban, Karnataka, 5600091, India",0.5209999999999999,77.5164792,12.9778951
"Manayata Tech Park,Bangalore,Karnataka,India","7th main, 2nd stage, Basaveshwaranagar, Bangalore, Dasarahalli, Agrahara Dasarahalli Ward, West Zone, Bengaluru, Bangalore North, Bangalore Urban, Karnataka, 560079, India",0.43,77.5400626,12.9848519
"Kengeri,Bangalore,Karnataka,India","Kengeri, Railway Parallel Road, Kengeri Satelite Town, Kengeri, Rajarajeshwari Nagar Zone, Bengaluru, Bangalore South, Bangalore Urban, Karnataka, 560060, India",0.7132082617679252,77.4837568,12.9176571
"Binny Pete,Bangalore,Karnataka,India",NOT_FOUND,0.0,,
"Thanisandra,Bangalore,Karnataka,India","Thanisandra, Yelahanka Zone, Bengaluru, Bangalore East, Bangalore Urban, Karnataka, India",0.6799999999999999,77.6339258,13.054713
"Bellandur,Bangalore,Karnataka,India","Bellandur Lake, Mahadevapura Zone, Bengaluru, Bangalore East, Bangalore Urban, Karnataka, India",0.8233169883241799,77.66676103753434,12.93577245
" Thanisandra,Bangalore,Karnataka,India","Thanisandra, Yelahanka Zone, Bengaluru, Bangalore East, Bangalore Urban, Karnataka, India",0.6799999999999999,77.6339258,13.054713
"Mangammanapalya,Bangalore,Karnataka,India","Mangammanapalya, Bommanahalli Zone, Bengaluru, Bangalore South, Bangalore Urban, Karnataka, 560068, India",0.6799999999999999,77.64570119478071,12.8957595
"Electronic City,Bangalore,Karnataka,India","Electronic City (u/c), Hosur Road, Begur, Bommanahalli Zone, Bengaluru, Bangalore South, Bangalore Urban, Karnataka, 560 100, India",0.5209999999999999,77.6636073,12.8563536
"Ramagondanahalli,Bangalore,Karnataka,India","Ramagondanahalli, Bengaluru, Bangalore East, Bangalore Urban, Karnataka, 5600, India",0.7050000000000001,77.7405826,12.9558969
"Yelahanka,Bangalore,Karnataka,India","Yelahanka, Kempegowda, Yelahanka Zone, Bengaluru, Bangalore North, Bangalore Urban, Karnataka, 560064, India",0.7896133856095018,77.5963454,13.1006982
